Index,Mode,Frequency,Max_Deflection,Average_Deflection
107.0,4.0,321.6,28.342,10.769
107.0,5.0,465.6,17.806,9.3349
107.0,6.0,487.41,17.732,9.1741
108.0,1.0,51.98,18.044,9.4233
108.0,2.0,143.46,17.298,8.9893
108.0,3.0,280.55,17.547,9.5888
108.0,4.0,321.94,28.34,11.125
108.0,5.0,463.88,17.785,9.6481
108.0,6.0,487.06,17.752,9.5934
109.0,1.0,52.203,18.098,9.1699
109.0,2.0,144.48,17.309,8.6076
109.0,3.0,281.4,17.52,9.4336
109.0,4.0,322.17,28.331,10.875
109.0,5.0,468.05,17.874,9.1416
109.0,6.0,487.24,17.751,9.3659
110.0,1.0,52.249,18.023,8.4561
110.0,2.0,143.74,17.37,8.9664
110.0,3.0,283.28,17.557,8.7289
110.0,4.0,321.76,28.334,10.24
110.0,5.0,467.56,18.003,9.2864
110.0,6.0,487.66,17.722,8.6972
111.0,1.0,52.452,18.047,8.3512
111.0,2.0,144.12,17.476,9.2402
111.0,3.0,283.29,17.537,9.5576
111.0,4.0,321.64,28.349,10.311
111.0,5.0,468.76,17.705,9.6763
111.0,6.0,488.39,17.731,8.6309
112.0,1.0,52.264,18.039,8.1607
112.0,2.0,144.44,17.283,9.0197
112.0,3.0,283.18,17.534,9.7281
112.0,4.0,321.31,28.29,10.117
112.0,5.0,467.73,17.895,10.205
112.0,6.0,487.67,17.729,8.4421
113.0,1.0,51.849,17.999,7.8277
113.0,2.0,143.13,17.277,8.1855
113.0,3.0,280.76,17.471,8.4749
113.0,4.0,320.99,28.269,9.5097
113.0,5.0,464.36,17.691,8.707
113.0,6.0,486.1,17.722,8.0558
114.0,1.0,52.601,18.057,9.3853
114.0,2.0,144.42,17.306,10.14
114.0,3.0,282.84,17.67,9.935
114.0,4.0,321.96,28.38,11.307
114.0,5.0,464.87,17.984,10.335
114.0,6.0,488.98,17.735,9.6067
115.0,1.0,52.576,18.063,9.5083
115.0,2.0,144.27,17.281,10.349
115.0,3.0,282.82,17.763,10.031
115.0,4.0,322.13,28.385,11.44
115.0,5.0,464.62,17.718,10.633
115.0,6.0,488.95,17.738,9.7244
116.0,1.0,52.443,18.123,9.3862
116.0,2.0,144.81,17.353,10.108
116.0,3.0,280.9,17.608,11.012
116.0,4.0,322.33,28.358,11.375
116.0,5.0,466.94,17.625,10.347
116.0,6.0,488.62,17.77,9.621
117.0,1.0,52.617,18.063,9.0567
117.0,2.0,144.86,17.311,9.9649
117.0,3.0,283.76,17.557,9.7614
117.0,4.0,322.1,28.355,11.046
117.0,5.0,467.57,17.855,11.2
117.0,6.0,488.83,17.739,9.307
118.0,1.0,52.621,18.061,8.5719
118.0,2.0,144.67,17.303,10.126
118.0,3.0,282.57,17.576,10.967
118.0,4.0,321.54,28.338,10.667
118.0,5.0,466.94,17.994,10.789
118.0,6.0,489.13,17.741,8.855
119.0,1.0,52.564,18.069,8.4646
119.0,2.0,144.69,17.301,9.7424
119.0,3.0,281.72,17.617,10.649
119.0,4.0,321.26,28.324,10.537
119.0,5.0,463.23,17.935,10.964
119.0,6.0,488.98,17.744,8.7511
120.0,1.0,52.036,18.005,8.6623
120.0,2.0,143.03,17.299,9.5517
120.0,3.0,279.96,17.516,9.7074
120.0,4.0,321.14,28.317,10.52
120.0,5.0,464.1,17.64,9.5791
120.0,6.0,486.84,17.733,8.8923
121.0,1.0,52.46,18.079,10.325
121.0,2.0,144.29,17.33,9.9919
121.0,3.0,282.87,17.487,9.9084
121.0,4.0,322.76,28.401,12.066
121.0,5.0,467.6,17.748,10.251
121.0,6.0,488.68,17.751,10.476
123.0,1.0,52.574,18.053,10.271
123.0,2.0,144.08,17.34,10.535
123.0,3.0,284.05,17.544,8.5436
123.0,4.0,322.66,28.425,12.028
123.0,5.0,466.56,17.781,10.718
123.0,6.0,488.75,17.743,10.43
124.0,1.0,52.613,18.05,9.2891
124.0,2.0,143.84,17.343,10.285
124.0,3.0,282.36,17.616,10.071
124.0,4.0,322.07,28.393,11.218
124.0,5.0,467.79,17.95,9.753
124.0,6.0,489.21,17.732,9.5114
125.0,1.0,52.438,18.048,8.649
125.0,2.0,144.17,17.452,9.6148
125.0,3.0,282.77,17.545,9.8166
125.0,4.0,321.41,28.335,10.614
125.0,5.0,467.91,17.716,9.752
125.0,6.0,488.49,17.734,8.9102
126.0,1.0,51.943,18.001,9.0385
126.0,2.0,143.05,17.247,9.4208
126.0,3.0,281.38,17.491,9.0717
126.0,4.0,321.69,28.339,10.808
126.0,5.0,462.99,17.72,9.6671
126.0,6.0,486.72,17.743,9.2339
127.0,1.0,52.414,18.136,10.342
127.0,2.0,144.89,17.34,8.983
127.0,3.0,282.3,17.556,10.349
127.0,4.0,323.12,28.393,12.03
127.0,5.0,467.96,17.776,9.7196
127.0,6.0,488.32,17.786,10.488
128.0,1.0,52.431,18.084,10.258
128.0,2.0,144.69,17.303,9.9033
128.0,3.0,283.77,17.577,9.6156
128.0,4.0,323.01,28.415,11.994
128.0,5.0,465.31,17.656,10.716
128.0,6.0,488.54,17.756,10.416
129.0,1.0,52.543,18.116,10.428
129.0,2.0,144.51,17.45,9.3098
129.0,3.0,282.45,17.509,10.58
129.0,4.0,322.72,28.395,12.153
129.0,5.0,469.88,17.714,8.8389
129.0,6.0,488.8,17.783,10.576
130.0,1.0,52.391,18.114,9.2087
130.0,2.0,145.21,17.342,9.3323
130.0,3.0,282.74,17.58,10.305
130.0,4.0,322.25,28.348,11.115
130.0,5.0,467.19,17.963,10.237
130.0,6.0,488.33,17.765,9.4408
131.0,1.0,51.893,18.027,9.5083
131.0,2.0,143.18,17.283,8.932
131.0,3.0,280.23,17.571,9.4203
131.0,4.0,321.77,28.33,11.163
131.0,5.0,462.85,17.73,9.686
131.0,6.0,486.4,17.754,9.674
132.0,1.0,52.516,18.053,9.928
132.0,2.0,143.99,17.332,10.232
132.0,3.0,283.57,17.47,9.4949
132.0,4.0,322.6,28.415,11.744
132.0,5.0,466.32,17.78,10.112
132.0,6.0,488.77,17.743,10.104
133.0,1.0,52.528,18.091,10.002
133.0,2.0,144.27,17.43,9.5619
133.0,3.0,282.31,17.441,10.432
133.0,4.0,322.66,28.388,11.786
133.0,5.0,468.58,17.787,9.1353
133.0,6.0,488.59,17.768,10.175
134.0,1.0,52.54,18.058,9.0878
134.0,2.0,144.47,17.305,9.7101
134.0,3.0,283.94,17.508,9.4961
134.0,4.0,321.95,28.36,11.002
134.0,5.0,466.1,17.858,10.724
134.0,6.0,488.57,17.737,9.3212
135.0,1.0,51.905,18.046,9.366
135.0,2.0,143.3,17.279,8.5376
135.0,3.0,279.98,17.494,9.6787
135.0,4.0,321.82,28.323,11.023
135.0,5.0,463.91,17.767,9.039
135.0,6.0,486.13,17.765,9.5348
136.0,1.0,52.646,18.056,9.5058
136.0,2.0,144.17,17.449,11.156
136.0,3.0,282.45,17.597,10.478
136.0,4.0,322.09,28.377,11.516
136.0,5.0,468.21,17.691,9.0062
136.0,6.0,489.26,17.734,9.7275
137.0,1.0,52.546,18.052,8.8604
137.0,2.0,144.36,17.406,10.003
137.0,3.0,283.67,17.527,9.9475
137.0,4.0,321.69,28.355,10.852
137.0,5.0,468.18,17.923,10.138
137.0,6.0,488.69,17.734,9.1146
138.0,1.0,52.049,18.002,8.7582
138.0,2.0,142.96,17.323,10.044
138.0,3.0,280.21,17.468,10.102
138.0,4.0,321.31,28.317,10.646
138.0,5.0,464.79,17.687,8.9432
138.0,6.0,486.85,17.735,8.9683
139.0,1.0,52.419,18.06,8.224
139.0,2.0,144.8,17.294,9.3041
139.0,3.0,282.95,17.578,10.196
139.0,4.0,321.1,28.298,10.283
139.0,5.0,465.53,18.028,10.732
139.0,6.0,488.34,17.741,8.5197
140.0,1.0,52.012,18.011,8.3188
140.0,2.0,143.32,17.254,9.1134
140.0,3.0,280.03,17.575,9.6402
140.0,4.0,320.93,28.288,10.18
140.0,5.0,461.73,17.93,9.8476
140.0,6.0,486.67,17.732,8.553
141.0,1.0,52.082,18.037,7.9546
141.0,2.0,144.37,17.315,8.6436
141.0,3.0,283.47,17.515,9.2691
141.0,4.0,320.53,28.266,9.8859
141.0,5.0,467.93,17.785,9.8557
141.0,6.0,486.46,17.733,8.2426
142.0,1.0,52.219,18.027,8.6246
142.0,2.0,143.33,17.512,9.2788
142.0,3.0,282.34,17.588,9.4583
142.0,4.0,321.13,28.358,10.478
142.0,5.0,468.46,17.691,9.1463
142.0,6.0,487.18,17.723,8.8634
143.0,1.0,51.645,18.068,9.1966
143.0,2.0,143.49,17.403,8.9101
143.0,3.0,281.2,17.672,9.5965
143.0,4.0,321.37,28.321,10.972
143.0,5.0,465.5,18.0,9.6038
143.0,6.0,485.11,17.753,9.398
144.0,1.0,51.833,18.109,8.8937
144.0,2.0,144.1,17.366,8.6293
144.0,3.0,281.28,17.731,9.4339
144.0,4.0,321.94,28.343,10.661
144.0,5.0,466.62,18.002,9.4343
144.0,6.0,485.65,17.775,9.115
145.0,1.0,51.506,17.955,8.8605
145.0,2.0,141.13,17.435,9.5128
145.0,3.0,278.37,17.506,9.3823
145.0,4.0,320.73,28.336,10.664
145.0,5.0,460.97,17.909,9.4154
145.0,6.0,484.69,17.739,9.0705
146.0,1.0,52.21,18.041,8.6839
146.0,2.0,143.79,17.547,9.4676
146.0,3.0,282.78,17.558,9.7295
146.0,4.0,320.84,28.326,10.629
146.0,5.0,468.8,17.71,9.6078
146.0,6.0,487.26,17.735,8.943
147.0,1.0,51.887,18.023,8.2942
147.0,2.0,143.93,17.304,8.9268
147.0,3.0,282.55,17.568,9.4443
147.0,4.0,320.09,28.249,10.208
147.0,5.0,466.6,17.945,9.8829
147.0,6.0,485.93,17.726,8.5596
148.0,1.0,51.044,17.942,8.2557
148.0,2.0,141.44,17.229,8.6172
148.0,3.0,278.73,17.462,8.8724
148.0,4.0,319.96,28.245,10.008
148.0,5.0,461.88,17.669,9.1156
148.0,6.0,482.01,17.703,8.4824
149.0,1.0,52.67,18.069,9.2083
149.0,2.0,143.92,17.53,10.329
149.0,3.0,280.59,17.793,10.441
149.0,4.0,321.16,28.382,11.187
149.0,5.0,465.81,17.744,9.7111
149.0,6.0,489.23,17.745,9.444
150.0,1.0,52.37,18.097,9.3659
150.0,2.0,144.54,17.355,9.8494
150.0,3.0,282.28,17.955,10.215
150.0,4.0,321.98,28.396,11.273
150.0,5.0,462.68,17.768,10.56
150.0,6.0,488.12,17.759,9.5858
151.0,1.0,52.304,18.201,9.5354
151.0,2.0,144.35,17.41,9.4682
151.0,3.0,278.67,17.746,10.514
151.0,4.0,322.2,28.386,11.4
151.0,5.0,466.46,17.662,9.7368
151.0,6.0,487.96,17.843,9.7444
152.0,1.0,52.353,18.08,9.3545
152.0,2.0,143.63,17.453,9.8162
152.0,3.0,281.28,17.741,10.066
152.0,4.0,321.88,28.411,11.244
152.0,5.0,461.44,17.587,10.476
152.0,6.0,487.99,17.758,9.5725
153.0,1.0,52.644,18.072,8.9596
153.0,2.0,144.09,17.313,10.129
153.0,3.0,280.3,17.831,10.638
153.0,4.0,320.95,28.366,10.967
153.0,5.0,464.01,17.825,10.388
153.0,6.0,489.19,17.749,9.2114
154.0,1.0,52.201,18.051,8.3526
154.0,2.0,144.32,17.317,9.2464
154.0,3.0,282.11,17.638,9.9334
154.0,4.0,320.37,28.278,10.341
154.0,5.0,464.5,17.981,10.335
154.0,6.0,487.22,17.741,8.6316
155.0,1.0,51.799,18.001,8.4413
155.0,2.0,142.84,17.251,9.0854
155.0,3.0,278.79,17.634,9.5192
155.0,4.0,320.18,28.267,10.293
155.0,5.0,459.69,18.129,9.7505
155.0,6.0,485.5,17.723,8.6794
157.0,1.0,52.178,18.103,10.118
157.0,2.0,143.32,17.39,9.771
157.0,3.0,282.5,17.721,9.5404
157.0,4.0,322.9,28.473,11.869
157.0,5.0,462.54,18.265,10.308
157.0,6.0,487.4,17.782,10.283
158.0,1.0,52.509,18.067,9.5472
158.0,2.0,143.69,17.489,10.323
158.0,3.0,282.5,17.627,9.8078
158.0,4.0,322.41,28.445,11.442
158.0,5.0,465.24,17.718,9.7048
158.0,6.0,488.76,17.746,9.7545
159.0,1.0,52.593,18.066,9.2987
159.0,2.0,143.93,17.354,10.278
159.0,3.0,281.58,17.906,9.9655
159.0,4.0,321.53,28.398,11.238
159.0,5.0,464.66,17.892,10.144
159.0,6.0,488.97,17.743,9.5244
160.0,1.0,52.497,18.049,8.7893
160.0,2.0,143.88,17.523,9.9204
160.0,3.0,282.54,17.593,10.202
160.0,4.0,320.9,28.35,10.775
160.0,5.0,468.26,17.797,9.7279
160.0,6.0,488.32,17.739,9.0448
161.0,1.0,51.412,17.963,9.0467
161.0,2.0,141.24,17.237,9.4382
161.0,3.0,278.88,17.434,8.8861
161.0,4.0,320.95,28.346,10.798
161.0,5.0,456.95,17.849,9.7291
161.0,6.0,484.38,17.746,9.2434
162.0,1.0,52.169,18.217,10.236
162.0,2.0,144.89,17.387,8.9199
162.0,3.0,280.71,17.673,10.412
162.0,4.0,323.37,28.43,11.927
162.0,5.0,467.92,18.005,9.538
162.0,6.0,487.44,17.831,10.387
163.0,1.0,52.259,18.089,10.032
163.0,2.0,143.36,17.395,9.7937
163.0,3.0,282.95,17.722,9.5723
163.0,4.0,322.91,28.475,11.798
163.0,5.0,462.98,18.228,10.318
163.0,6.0,487.29,17.78,10.202
164.0,1.0,52.335,18.091,9.4062
164.0,2.0,143.84,17.444,9.9615
164.0,3.0,281.03,17.803,10.075
164.0,4.0,321.87,28.417,11.311
164.0,5.0,460.24,17.633,10.405
164.0,6.0,487.99,17.757,9.626
165.0,1.0,52.039,18.133,9.1659
165.0,2.0,144.48,17.297,8.9049
165.0,3.0,281.74,17.508,9.7932
165.0,4.0,321.74,28.32,10.991
165.0,5.0,468.19,17.866,9.5754
165.0,6.0,486.59,17.8,9.3839
166.0,1.0,51.195,18.142,9.2534
166.0,2.0,142.36,17.22,8.6708
166.0,3.0,276.08,17.405,9.6522
166.0,4.0,321.39,28.341,10.951
166.0,5.0,462.17,17.687,9.0769
166.0,6.0,483.23,17.816,9.4324
167.0,1.0,52.38,18.082,9.8819
167.0,2.0,143.46,17.427,9.9885
167.0,3.0,282.32,17.445,9.9005
167.0,4.0,322.65,28.461,11.692
167.0,5.0,465.69,17.699,10.103
167.0,6.0,488.25,17.766,10.06
168.0,1.0,52.429,18.101,9.5822
168.0,2.0,144.35,17.29,10.007
168.0,3.0,281.02,18.188,10.03
168.0,4.0,321.96,28.404,11.467
168.0,5.0,462.18,17.839,10.387
168.0,6.0,488.27,17.76,9.7896
169.0,1.0,52.305,18.052,9.314
169.0,2.0,144.15,17.323,9.6259
169.0,3.0,284.0,17.493,9.175
169.0,4.0,321.66,28.361,11.164
169.0,5.0,466.43,17.808,10.472
169.0,6.0,487.36,17.738,9.5267
170.0,1.0,51.393,18.008,9.2416
170.0,2.0,141.95,17.302,9.2421
170.0,3.0,278.36,17.618,9.408
170.0,4.0,321.23,28.343,10.98
170.0,5.0,458.25,17.727,9.7756
170.0,6.0,484.07,17.768,9.4228
171.0,1.0,52.599,18.045,9.4825
171.0,2.0,143.23,17.637,10.566
171.0,3.0,282.45,17.624,10.027
171.0,4.0,321.99,28.44,11.386
171.0,5.0,468.47,17.885,9.2348
171.0,6.0,489.11,17.735,9.6883
172.0,1.0,52.292,18.045,8.7386
172.0,2.0,144.12,17.337,9.6157
172.0,3.0,282.18,17.587,9.9579
172.0,4.0,320.94,28.311,10.695
172.0,5.0,467.99,17.745,9.7562
172.0,6.0,487.56,17.735,8.9894
173.0,1.0,52.101,18.016,8.9554
173.0,2.0,143.16,17.389,9.5447
173.0,3.0,281.96,17.547,8.854
173.0,4.0,321.5,28.351,10.749
173.0,5.0,466.33,17.855,9.522
173.0,6.0,486.02,17.715,9.1671
174.0,1.0,52.221,18.047,8.348
174.0,2.0,144.37,17.284,9.1161
174.0,3.0,282.24,17.657,9.7203
174.0,4.0,320.16,28.266,10.309
174.0,5.0,465.31,18.228,10.125
174.0,6.0,486.9,17.738,8.6177
175.0,1.0,51.511,17.978,8.5034
175.0,2.0,142.26,17.215,9.113
175.0,3.0,277.73,17.602,9.531
175.0,4.0,319.87,28.254,10.335
175.0,5.0,457.66,18.274,9.788
175.0,6.0,484.26,17.732,8.7215
176.0,1.0,50.883,17.939,8.5247
176.0,2.0,140.9,17.174,9.0972
176.0,3.0,275.29,17.544,9.5477
176.0,4.0,318.75,28.217,10.35
176.0,5.0,453.2,18.241,9.8062
176.0,6.0,480.96,17.727,8.7417
177.0,1.0,51.23,17.934,9.0967
177.0,2.0,140.05,17.461,9.6184
177.0,3.0,278.22,17.598,9.3782
177.0,4.0,320.55,28.361,10.884
177.0,5.0,460.26,18.044,9.5645
177.0,6.0,481.52,17.723,9.2917
178.0,1.0,51.141,17.978,9.248
178.0,2.0,141.13,17.303,9.4744
178.0,3.0,278.35,17.547,9.2625
178.0,4.0,321.04,28.37,11.012
178.0,5.0,457.29,17.619,9.9285
178.0,6.0,481.05,17.745,9.4386
179.0,1.0,51.66,18.235,9.0008
179.0,2.0,144.73,17.345,8.3865
179.0,3.0,279.84,17.545,9.7183
179.0,4.0,321.43,28.325,10.812
179.0,5.0,469.13,17.898,9.5159
179.0,6.0,483.7,17.886,9.2355
180.0,1.0,51.315,18.04,9.0871
180.0,2.0,142.88,17.324,9.2515
180.0,3.0,282.03,17.781,9.3957
180.0,4.0,321.08,28.355,10.915
180.0,5.0,463.6,17.704,9.9579
180.0,6.0,482.94,17.743,9.3092
181.0,1.0,51.572,17.994,8.8313
181.0,2.0,142.18,17.724,9.479
181.0,3.0,281.59,17.564,9.5156
181.0,4.0,320.28,28.338,10.708
181.0,5.0,469.05,17.84,9.3907
181.0,6.0,484.11,17.713,9.0694
182.0,1.0,51.345,17.992,8.4862
182.0,2.0,142.66,17.332,9.2114
182.0,3.0,279.82,17.753,9.7479
182.0,4.0,319.55,28.251,10.415
182.0,5.0,463.01,18.232,10.06
182.0,6.0,482.21,17.703,8.748
183.0,1.0,50.806,17.941,8.37
183.0,2.0,141.67,17.241,8.8455
183.0,3.0,279.55,17.496,9.2231
183.0,4.0,319.17,28.206,10.215
183.0,5.0,463.22,17.817,9.5822
183.0,6.0,479.52,17.679,8.6193
184.0,1.0,52.514,18.07,8.9456
184.0,2.0,144.37,17.457,9.7981
184.0,3.0,281.31,17.766,10.315
184.0,4.0,319.96,28.343,10.933
184.0,5.0,463.81,18.062,10.389
184.0,6.0,488.04,17.761,9.198
185.0,1.0,52.312,18.059,9.2525
185.0,2.0,142.64,17.352,10.018
185.0,3.0,280.81,18.112,9.876
185.0,4.0,321.19,28.432,11.167
185.0,5.0,456.34,18.355,10.385
185.0,6.0,487.61,17.743,9.4777
186.0,1.0,51.613,18.238,9.4366
186.0,2.0,144.66,17.466,9.445
186.0,3.0,278.68,17.775,10.197
186.0,4.0,321.32,28.374,11.325
186.0,5.0,460.13,18.835,10.303
186.0,6.0,484.36,17.856,9.661
187.0,1.0,51.986,18.124,9.3107
187.0,2.0,144.26,17.438,9.7393
187.0,3.0,281.44,17.587,10.059
187.0,4.0,321.27,28.389,11.226
187.0,5.0,457.44,18.766,10.523
187.0,6.0,486.17,17.785,9.5399
188.0,1.0,52.658,18.072,8.9294
188.0,2.0,143.46,17.335,10.224
188.0,3.0,278.68,17.88,10.711
188.0,4.0,320.69,28.398,10.937
188.0,5.0,463.91,17.543,10.272
188.0,6.0,489.36,17.754,9.181
189.0,1.0,52.081,18.064,8.6543
189.0,2.0,144.75,17.311,9.3202
189.0,3.0,282.48,17.764,9.8252
189.0,4.0,319.38,28.253,10.636
189.0,5.0,463.51,18.636,10.403
189.0,6.0,485.54,17.759,8.9215
190.0,1.0,51.052,17.928,8.667
190.0,2.0,140.15,17.34,9.7298
190.0,3.0,273.65,17.736,10.116
190.0,4.0,319.37,28.284,10.565
190.0,5.0,455.84,17.661,9.829
190.0,6.0,482.13,17.733,8.9152
191.0,1.0,52.339,18.071,9.7886
191.0,2.0,143.04,17.358,10.01
191.0,3.0,283.72,17.523,9.2221
191.0,4.0,322.92,28.513,11.583
191.0,5.0,461.94,17.996,10.372
191.0,6.0,487.95,17.774,9.9681
192.0,1.0,52.011,18.27,9.8308
192.0,2.0,143.78,17.486,9.6471
192.0,3.0,278.93,17.429,10.212
192.0,4.0,322.96,28.471,11.652
192.0,5.0,467.74,17.786,9.4185
192.0,6.0,486.55,17.906,10.019
193.0,1.0,52.406,18.052,9.6567
193.0,2.0,142.48,17.664,10.299
193.0,3.0,282.82,17.566,9.5844
193.0,4.0,322.15,28.495,11.525
193.0,5.0,464.58,18.022,9.8951
193.0,6.0,488.12,17.753,9.8546
194.0,1.0,52.491,18.049,9.3759
194.0,2.0,142.22,17.442,10.268
194.0,3.0,279.58,18.284,9.9614
194.0,4.0,321.09,28.442,11.279
194.0,5.0,462.73,18.319,10.009
194.0,6.0,488.57,17.738,9.5914
195.0,1.0,52.218,18.038,9.0731
195.0,2.0,142.25,17.905,9.9416
195.0,3.0,281.39,17.805,9.9063
195.0,4.0,320.16,28.376,11.023
195.0,5.0,464.64,17.959,10.134
195.0,6.0,486.92,17.737,9.3143
196.0,1.0,50.913,17.911,9.2662
196.0,2.0,139.76,17.383,10.043
196.0,3.0,277.09,17.449,9.1868
196.0,4.0,320.19,28.347,11.046
196.0,5.0,456.37,18.082,9.4351
196.0,6.0,481.52,17.742,9.469
197.0,1.0,51.595,18.274,9.9135
197.0,2.0,144.13,17.293,9.4668
197.0,3.0,277.98,17.519,10.119
197.0,4.0,323.58,28.489,11.707
197.0,5.0,460.73,17.458,9.9701
197.0,6.0,484.76,17.879,10.098
198.0,1.0,51.921,18.285,10.14
198.0,2.0,144.22,17.297,9.3448
198.0,3.0,279.95,17.444,9.9268
198.0,4.0,323.36,28.499,11.89
198.0,5.0,464.77,18.093,9.5731
198.0,6.0,486.08,17.906,10.306
199.0,1.0,52.075,18.224,9.3865
199.0,2.0,144.4,17.461,9.6633
199.0,3.0,277.22,17.691,10.417
199.0,4.0,321.71,28.401,11.293
199.0,5.0,461.31,18.23,10.179
199.0,6.0,486.73,17.849,9.6113
200.0,1.0,51.758,18.196,9.0929
200.0,2.0,144.57,17.446,9.1492
200.0,3.0,280.07,17.802,9.9142
200.0,4.0,321.37,28.355,10.976
200.0,5.0,463.69,18.37,10.173
200.0,6.0,484.66,17.831,9.3255
201.0,1.0,50.618,18.076,9.7231
201.0,2.0,140.94,17.21,8.7137
201.0,3.0,273.77,17.47,9.8788
201.0,4.0,320.86,28.323,11.357
201.0,5.0,457.76,17.795,9.3539
201.0,6.0,480.06,17.815,9.8858
202.0,1.0,52.197,18.05,9.7306
202.0,2.0,141.93,17.358,10.121
202.0,3.0,283.89,17.511,9.2279
202.0,4.0,322.57,28.543,11.519
202.0,5.0,459.76,18.354,10.276
202.0,6.0,487.39,17.769,9.9092
203.0,1.0,52.164,18.129,9.8526
203.0,2.0,142.69,17.605,9.9426
203.0,3.0,279.77,17.496,10.053
203.0,4.0,322.53,28.51,11.651
203.0,5.0,464.18,17.951,9.7469
203.0,6.0,486.88,17.797,10.034
204.0,1.0,52.162,18.072,9.51
204.0,2.0,143.77,17.361,9.7717
204.0,3.0,282.61,17.959,9.8272
204.0,4.0,321.1,28.409,11.388
204.0,5.0,455.75,18.57,10.589
204.0,6.0,486.43,17.764,9.7212
205.0,1.0,50.666,18.071,10.007
205.0,2.0,140.94,17.262,8.3514
205.0,3.0,273.99,17.447,10.146
205.0,4.0,320.84,28.316,11.581
205.0,5.0,457.98,17.866,8.9602
205.0,6.0,480.27,17.816,10.145
206.0,1.0,52.52,18.053,9.2185
206.0,2.0,142.44,17.64,10.072
206.0,3.0,279.65,17.934,9.9516
206.0,4.0,321.14,28.442,11.127
206.0,5.0,462.22,17.856,10.067
206.0,6.0,488.67,17.742,9.4398
207.0,1.0,52.239,18.064,9.2871
207.0,2.0,143.24,17.476,10.012
207.0,3.0,282.09,17.521,9.7688
207.0,4.0,320.73,28.402,11.216
207.0,5.0,458.78,19.272,10.391
207.0,6.0,487.19,17.751,9.5149
208.0,1.0,51.037,17.911,8.815
208.0,2.0,138.97,17.588,9.4712
208.0,3.0,273.38,17.523,9.572
208.0,4.0,319.48,28.307,10.593
208.0,5.0,458.4,17.734,9.2703
208.0,6.0,482.02,17.726,9.0088
209.0,1.0,52.211,18.089,8.7537
209.0,2.0,144.91,17.318,9.5229
209.0,3.0,281.08,17.963,10.09
209.0,4.0,319.3,28.274,10.75
209.0,5.0,459.21,18.803,10.419
209.0,6.0,487.02,17.771,9.0233
210.0,1.0,51.015,17.937,8.6812
210.0,2.0,140.56,17.233,9.3798
210.0,3.0,273.95,17.883,9.7103
210.0,4.0,318.85,28.241,10.504
210.0,5.0,453.55,17.642,9.9112
210.0,6.0,481.66,17.731,8.8861
